id,name,popularity,duration_ms,artists,id_artists,release_date,mood,url
3ZCTVFBt2Brf31RLEnCkWJ,everything i wanted,87,245426,['Billie Eilish'],['6qqNVTkY8uBg9cP3Jd7DAH'],13-11-2019,Calm,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
2bRKxuH1o7pTmb1y4GfdEc,Clean White Noise - Loopable with no fade,86,90228,"['Erik Eriksson', 'White Noise Baby Sleep', 'White Noise for Babies']","['2c5WYCqQGs0UttiLCzVfOe', '4W12lEvVl5wectUtRNrvDh', '4ZfEELHfyKd4odAb6YfDFw']",08-01-2017,Calm,
1BncfTJAWxrsxyT9culBrj,Experience,79,315427,"['Ludovico Einaudi', 'Daniel Hope', 'I Virtuosi Italiani']","['2uFUBdaVGtyMqckSeCl0Qj', '59r5UU2HOytn9V5uMZ5Vur', '1k1AM2ESRQseVAj6rvBdtx']",01-01-2013,Calm,https://open.spotify.com/track/1BncfTJAWxrsxyT9culBrj
7ejeQLLLGjVriLS7cojERB,YKWIM?,79,212750,['Yot Club'],['6FugQjLquBF4JzATRN70bR'],31-05-2019,Calm,https://open.spotify.com/track/2vWBUC9djv6BtiGlmKiQaH
65rkHetZXO6DQmBh3C2YtW,White Noise - 500 hz,78,147097,['Granular'],['1jfnMuDBl5OaAoU0VwLD8m'],13-10-2017,Calm,https://open.spotify.com/track/65rkHetZXO6DQmBh3C2YtW
6H4B9gJD6eQlNoEh8q85pP,White Noise - 145 hz,77,135484,['Granular'],['1jfnMuDBl5OaAoU0VwLD8m'],13-10-2017,Calm,https://open.spotify.com/track/6H4B9gJD6eQlNoEh8q85pP
1LGFhRGycG5VI9cU8gFgVP,Losing Interest,77,120547,"['itssvd', 'Shiloh Dynasty']","['5yaF4LUw7ON1RmE4O8Q03C', '1wxPItEzr7U7rGSMPqZ25r']",12-02-2017,Calm,https://open.spotify.com/track/55XrFge2dEZwYzNl128DwN
0baNzeUcPQnQSagpe8T0mD,worldstar money (interlude),77,126312,['Joji'],['3MZsBdqDrRTJihTHQrO6Dq'],14-02-2018,Calm,https://open.spotify.com/track/0baNzeUcPQnQSagpe8T0mD
6potEImiklXkwD9qFzpu15,Forever,77,202536,['Labrinth'],['2feDdbD5araYcm6JhFHHw7'],04-10-2019,Calm,https://open.spotify.com/track/6potEImiklXkwD9qFzpu15
7svpAkwc6xaSxlbZ7V7JiS,i was all over her,76,161463,['salvia palth'],['0pg0Zm8FsGAYy5kdHuBnSo'],01-01-2013,Calm,https://open.spotify.com/track/6mSnSuOhgHHohqeBw76jRV
